nom|codeDepartement|nomRegion|populationTotale
Marcq-en-Barœul|32|Hauts-de-France|39697
Maubeuge|32|Hauts-de-France|29995
Roubaix|32|Hauts-de-France|96953
Tourcoing|32|Hauts-de-France|98170
Valenciennes|32|Hauts-de-France|44509
Villeneuve-d'Ascq|32|Hauts-de-France|63085
Wattrelos|32|Hauts-de-France|41570
Beauvais|32|Hauts-de-France|57548
Compiègne|32|Hauts-de-France|41660
Creil|32|Hauts-de-France|36091
Alençon|28|Normandie|27221
Arras|32|Hauts-de-France|41973
Béthune|32|Hauts-de-France|25753
Boulogne-sur-Mer|32|Hauts-de-France|42293
Calais|32|Hauts-de-France|75719
